state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Assam,Barpeta,Howly,Apple,Apple,07-02-2022,7000,9000,8000
Assam,Barpeta,Howly,Apple,Apple,09-02-2022,8000,10000,9000
Assam,Barpeta,Howly,Apple,Apple,10-02-2022,8000,9000,8500
Assam,Barpeta,Howly,Apple,Apple,11-02-2022,9000,10000,9500
Assam,Barpeta,Howly,Apple,Apple,12-02-2022,9000,10000,9500
Assam,Barpeta,Howly,Apple,Apple,14-02-2022,9000,10000,9500
Assam,Barpeta,Howly,Apple,Apple,16-02-2022,8000,9000,8500
Assam,Barpeta,Howly,Apple,Apple,19-02-2022,9000,10000,9500
Assam,Barpeta,Howly,Apple,Apple,20-02-2022,8000,10000,9000
Assam,Barpeta,Howly,Apple,Apple,21-02-2022,9000,10000,9500
Assam,Barpeta,Howly,Apple,Apple,22-02-2022,8000,9000,8500
Assam,Barpeta,Howly,Apple,Apple,27-02-2022,9000,11000,10000
Assam,Barpeta,Howly,Apple,Apple,28-02-2022,9000,11000,10000
Bihar,Araria,Forbesganj,Apple,American,01-02-2022,4000,7000,6000
Bihar,Araria,Forbesganj,Apple,American,02-02-2022,3500,6000,5000
Bihar,Araria,Forbesganj,Apple,American,03-02-2022,3500,5600,4200
Bihar,Araria,Forbesganj,Apple,American,04-02-2022,5200,6700,5800
Bihar,Araria,Forbesganj,Apple,American,05-02-2022,4700,7000,5600
Bihar,Araria,Forbesganj,Apple,American,06-02-2022,4800,7000,6200
Bihar,Araria,Forbesganj,Apple,American,07-02-2022,4500,6400,5400
Bihar,Araria,Forbesganj,Apple,American,08-02-2022,4500,6900,5200
Bihar,Araria,Forbesganj,Apple,American,12-02-2022,4200,7200,6700
Bihar,Araria,Forbesganj,Apple,American,13-02-2022,5100,6900,6500
Bihar,Araria,Forbesganj,Apple,American,14-02-2022,4500,5700,5200
Bihar,Araria,Forbesganj,Apple,American,15-02-2022,4800,7800,6600
Bihar,Araria,Forbesganj,Apple,American,16-02-2022,4800,6350,5800
Bihar,Araria,Forbesganj,Apple,American,17-02-2022,4800,6750,6400
Bihar,Araria,Forbesganj,Apple,American,18-02-2022,4800,5660,5400
Bihar,Araria,Forbesganj,Apple,American,19-02-2022,4800,6500,5600
Bihar,Araria,Forbesganj,Apple,American,20-02-2022,5800,7100,6450
Bihar,Araria,Forbesganj,Apple,American,21-02-2022,4800,5650,5400
Bihar,Araria,Forbesganj,Apple,American,22-02-2022,5100,5600,5420
Bihar,Araria,Forbesganj,Apple,American,23-02-2022,5800,6900,6400
Bihar,Araria,Forbesganj,Apple,American,24-02-2022,4700,7100,5400
Bihar,Araria,Forbesganj,Apple,American,25-02-2022,6400,7260,6750
Bihar,Araria,Forbesganj,Apple,American,26-02-2022,4600,6150,5600
Bihar,Araria,Forbesganj,Apple,American,27-02-2022,6400,6700,6450
Bihar,Araria,Forbesganj,Apple,American,28-02-2022,4800,6200,5600
Bihar,Araria,Forbesganj,Apple,American,01-03-2022,5200,7360,5850
Bihar,Araria,Forbesganj,Apple,American,02-03-2022,4900,6100,5500
Bihar,Araria,Forbesganj,Apple,American,03-03-2022,5900,7100,6400
Bihar,Araria,Forbesganj,Apple,American,04-03-2022,5400,6100,5800
Bihar,Araria,Forbesganj,Apple,American,05-03-2022,5800,6350,6100
Bihar,Araria,Forbesganj,Apple,American,06-03-2022,4200,5800,5400
Bihar,Araria,Forbesganj,Apple,American,07-03-2022,4250,5900,5600
Bihar,Araria,Forbesganj,Apple,American,08-03-2022,4600,5300,4950
Bihar,Araria,Forbesganj,Apple,American,09-03-2022,6100,6750,6400
Bihar,Araria,Forbesganj,Apple,American,10-03-2022,6200,6500,6350
Bihar,Araria,Forbesganj,Apple,American,11-03-2022,6200,6500,6350
Bihar,Araria,Forbesganj,Apple,American,12-03-2022,6200,7100,6500
Bihar,Araria,Forbesganj,Apple,American,13-03-2022,5400,7150,6400
Bihar,Araria,Forbesganj,Apple,American,14-03-2022,6400,6700,6580
Bihar,Araria,Forbesganj,Apple,American,16-03-2022,6400,7100,6800
Bihar,Araria,Forbesganj,Apple,American,17-03-2022,6200,6650,6400
Bihar,Araria,Forbesganj,Apple,American,18-03-2022,5800,6300,6100
Bihar,Araria,Forbesganj,Apple,American,20-03-2022,6400,7100,6800
Bihar,Araria,Forbesganj,Apple,American,21-03-2022,6400,6800,6600
Bihar,Araria,Forbesganj,Apple,American,22-03-2022,6400,6800,6600
Bihar,Araria,Forbesganj,Apple,American,23-03-2022,6700,7200,6900
Bihar,Araria,Forbesganj,Apple,American,24-03-2022,5400,6200,5800
Bihar,Araria,Forbesganj,Apple,American,25-03-2022,5400,6400,5800
Bihar,Araria,Forbesganj,Apple,American,26-03-2022,6400,7100,6800
Bihar,Araria,Forbesganj,Apple,American,27-03-2022,5500,7200,6500
Bihar,Araria,Forbesganj,Apple,American,28-03-2022,5800,6250,6100
Bihar,Araria,Forbesganj,Apple,American,29-03-2022,5700,6000,5850
Bihar,Araria,Forbesganj,Apple,American,30-03-2022,5800,6200,6000
Bihar,Araria,Forbesganj,Apple,American,31-03-2022,6400,7250,6800
Bihar,Araria,Forbesganj,Apple,American,01-04-2022,6400,7100,6800
Bihar,Araria,Forbesganj,Apple,American,02-04-2022,6000,6450,6200
Bihar,Araria,Forbesganj,Apple,American,03-04-2022,6800,7400,7200
Bihar,Araria,Forbesganj,Apple,American,04-04-2022,6400,7500,6800
Bihar,Araria,Forbesganj,Apple,American,05-04-2022,6400,7400,6800
Bihar,Araria,Forbesganj,Apple,American,06-04-2022,6400,7100,6800
Bihar,Araria,Forbesganj,Apple,American,07-04-2022,6400,7200,6800
Bihar,Araria,Forbesganj,Apple,American,08-04-2022,6400,7100,6800
Bihar,Araria,Forbesganj,Apple,American,09-04-2022,6400,7100,6800
Bihar,Araria,Forbesganj,Apple,American,10-04-2022,6500,7200,6800
Bihar,Araria,Forbesganj,Apple,American,11-04-2022,6400,7200,6800
Bihar,Araria,Forbesganj,Apple,American,12-04-2022,6400,7100,6800
Bihar,Araria,Forbesganj,Apple,American,13-04-2022,6400,7200,6800
Bihar,Araria,Forbesganj,Apple,American,14-04-2022,6400,7100,6650
Bihar,Araria,Forbesganj,Apple,American,15-04-2022,6400,7450,6800
Bihar,Araria,Forbesganj,Apple,American,16-04-2022,6800,7600,7100
Bihar,Araria,Forbesganj,Apple,American,17-04-2022,6400,7100,6800
Bihar,Araria,Forbesganj,Apple,American,18-04-2022,6400,7100,6750
Bihar,Araria,Forbesganj,Apple,American,19-04-2022,6400,7200,6700
Bihar,Araria,Forbesganj,Apple,American,20-04-2022,6500,7400,6850
Bihar,Araria,Forbesganj,Apple,American,21-04-2022,6450,7200,6680
Bihar,Araria,Forbesganj,Apple,American,22-04-2022,6800,7200,6950
Bihar,Araria,Forbesganj,Apple,American,23-04-2022,6500,7120,6700
Bihar,Araria,Forbesganj,Apple,American,24-04-2022,6800,7750,7400
Bihar,Araria,Forbesganj,Apple,American,24-04-2022,6400,7150,7000
Bihar,Araria,Forbesganj,Apple,American,25-04-2022,6400,7400,6800
Bihar,Araria,Forbesganj,Apple,American,26-04-2022,6500,7620,6800
Bihar,Araria,Forbesganj,Apple,American,27-04-2022,6900,8200,7450
Bihar,Arwal,Arwal,Apple,Other,04-04-2022,1800,2100,2000
Bihar,Chhapra,Chhapra,Apple,Other,02-03-2022,4900,5300,5100
Bihar,Chhapra,Chhapra,Apple,Other,04-03-2022,5000,5200,5100
Bihar,Chhapra,Chhapra,Apple,Other,01-04-2022,6000,7000,6500
Bihar,Chhapra,Chhapra,Apple,Other,03-04-2022,6500,7500,7000
Bihar,Chhapra,Chhapra,Apple,Other,05-04-2022,6500,7500,7000
